Time,Encoder1,Encoder2
02-08-2024 09:18:27.572,0,0
02-08-2024 09:18:27.611,0,0
02-08-2024 09:18:27.637,0,0
02-08-2024 09:18:27.656,0,0
02-08-2024 09:18:27.663,0,0
02-08-2024 09:18:27.672,0,0
02-08-2024 09:18:27.679,0,0
02-08-2024 09:18:27.689,0,0
02-08-2024 09:18:27.696,0,0
02-08-2024 09:18:27.704,0,0
02-08-2024 09:18:27.713,0,0
02-08-2024 09:18:27.720,0,0
02-08-2024 09:18:27.729,0,0
02-08-2024 09:18:27.738,0,0
02-08-2024 09:18:27.747,0,0
02-08-2024 09:18:27.755,0,0
02-08-2024 09:18:27.763,0,0
02-08-2024 09:18:27.773,0,0
02-08-2024 09:18:27.780,0,0
02-08-2024 09:18:27.788,0,0
02-08-2024 09:18:27.797,0,0
02-08-2024 09:18:27.804,0,0
02-08-2024 09:18:27.814,0,0
02-08-2024 09:18:27.828,0,0
02-08-2024 09:18:27.839,0,0
02-08-2024 09:18:27.846,0,0
02-08-2024 09:18:27.856,0,0
02-08-2024 09:18:27.863,0,0
02-08-2024 09:18:27.872,0,0
02-08-2024 09:18:27.879,0,0
02-08-2024 09:18:27.887,0,0
02-08-2024 09:18:27.896,0,0
02-08-2024 09:18:27.905,0,0
02-08-2024 09:18:27.913,0,0
02-08-2024 09:18:27.921,0,0
02-08-2024 09:18:27.929,0,0
02-08-2024 09:18:27.938,0,0
02-08-2024 09:18:27.946,0,0
02-08-2024 09:18:27.957,0,0
02-08-2024 09:18:27.963,0,0
02-08-2024 09:18:27.974,0,0
02-08-2024 09:18:27.980,0,0
02-08-2024 09:18:27.988,0,0
02-08-2024 09:18:27.996,0,0
02-08-2024 09:18:28.006,0,0
02-08-2024 09:18:28.014,0,0
02-08-2024 09:18:28.027,0,0
02-08-2024 09:18:28.039,0,0
02-08-2024 09:18:28.046,0,0
02-08-2024 09:18:28.055,0,0
02-08-2024 09:18:28.063,0,0
02-08-2024 09:18:28.071,0,0
02-08-2024 09:18:28.079,0,0
02-08-2024 09:18:28.087,0,0
02-08-2024 09:18:28.097,0,0
02-08-2024 09:18:28.106,0,0
02-08-2024 09:18:28.118,0,0
