Time,enc_1, enc_2,Robx,Roby,PlayerX, PlayerY,CirclePosX, CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-05-23 13:52:03.525,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.529,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.560,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.582,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.587,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.594,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.619,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.627,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.635,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.666,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.673,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.709,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.737,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.742,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.767,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.773,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.779,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.804,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.810,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.817,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.845,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.867,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.890,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.896,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.902,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.929,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.936,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.959,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.965,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:03.973,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.001,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.022,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.048,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.053,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.061,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.085,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.089,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.098,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.131,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.135,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.158,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.179,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.201,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.207,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.213,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.241,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.247,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.271,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.278,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.283,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.309,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:04.329,0,0,0,-4.368,,,,,,,,,
